name,salary_from,salary_to,salary_currency,area_name,published_at
Ведущий сервисный инженер по ремонту производственного оборудования,,50000.0,RUR,Новосибирск,2022-12-29T04:08:00+0300
Механик рефрижераторных установок,45000.0,45000.0,RUR,Новокузнецк,2022-12-29T04:19:40+0300
Оформитель торгового комплекса (улица Кузоваткина),39000.0,47000.0,RUR,Нижневартовск,2022-12-29T03:19:31+0300
Водитель боевых и специальных машин (БиСМ),71000.0,,RUR,Санкт-Петербург,2022-12-29T11:15:41+0300
Тестировщик (QA) детских образовательных игр,40000.0,40000.0,RUR,Иваново (Ивановская область),2022-12-29T09:45:04+0300
JavaScript-разработчик,30000.0,100000.0,RUR,Москва,2022-12-29T11:09:04+0300
Системный администратор,200000.0,,KZT,Павлодар,2022-12-29T06:03:07+0300
Вечерний сотрудник в отдел технической поддержки,950.0,1250.0,USD,Тбилиси,2022-12-29T11:51:43+0300
Junior Python Backend Developer,,60000.0,RUR,Санкт-Петербург,2022-12-29T11:07:25+0300
Системный администратор,300000.0,350000.0,KZT,Караганда,2022-12-29T08:11:25+0300
Системный администратор,46000.0,46000.0,RUR,Тамбов,2022-12-29T09:45:42+0300
Системный администратор,80000.0,,RUR,Уфа,2022-12-29T10:48:46+0300
Графический дизайнер,35000.0,,RUR,Омск,2022-12-29T07:11:22+0300
Дизайнер,50000.0,80000.0,RUR,Санкт-Петербург,2022-12-29T11:11:11+0300
Front-end Developer react,100000.0,160000.0,RUR,Челябинск,2022-12-29T09:32:21+0300
Дизайнер,,50000.0,RUR,Новосибирск,2022-12-29T11:27:13+0300
Junior +/Middle Java Spring Developer,50000.0,130000.0,RUR,Барнаул,2022-12-29T08:39:42+0300
Инженер службы технической поддержки,54000.0,54000.0,RUR,Ставрополь,2022-12-29T08:22:06+0300
Дизайнер,70000.0,,RUR,Санкт-Петербург,2022-12-29T11:44:45+0300
Редактор сообществ ВК,35000.0,,RUR,Санкт-Петербург,2022-12-29T11:40:50+0300
IT директор,100000.0,,RUR,Магнитогорск,2022-12-29T11:55:03+0300
Системный администратор,38000.0,,RUR,Новокузнецк,2022-12-29T06:06:19+0300
Механик,65000.0,,RUR,Чебоксары,2022-12-29T09:55:55+0300
UX-UI дизайнер,40000.0,,RUR,Челябинск,2022-12-29T08:10:28+0300
2D Animator Spine,1700.0,2500.0,USD,Минск,2022-12-29T08:06:33+0300
Системный администратор,350000.0,350000.0,KZT,Алматы,2022-12-29T07:40:02+0300
Специалист технической поддержки CRM-системы,100000.0,150000.0,RUR,Москва,2022-12-29T09:36:09+0300
Территориальный системный администратор,80400.0,92500.0,RUR,Санкт-Петербург,2022-12-29T10:06:06+0300
Python developer,40000.0,120000.0,RUR,Барнаул,2022-12-29T08:06:05+0300
Дизайнер-иллюстратор (Графический дизайнер),250000.0,300000.0,KZT,Алматы,2022-12-29T07:19:01+0300
Инженер,65000.0,,RUR,Санкт-Петербург,2022-12-29T11:13:39+0300
Механик по выпуску автобусов,100000.0,100000.0,RUR,Омск,2022-12-29T07:09:44+0300
Системный администратор,80000.0,130000.0,RUR,Самара,2022-12-29T10:16:09+0300
Младший аналитик,,120000.0,RUR,Москва,2022-12-29T10:28:13+0300
Оператор станков с программным управлением,65000.0,100000.0,RUR,Нижний Новгород,2022-12-29T08:24:33+0300
Начальник автотранспортного предприятия,130000.0,,RUR,Красноярск,2022-12-29T11:39:45+0300
Графический дизайнер,120000.0,120000.0,KZT,Алматы,2022-12-29T09:33:18+0300
Аналитик данных,180000.0,200000.0,RUR,Москва,2022-12-29T11:25:20+0300
Копирайтер на маркетплейсы,15500.0,,RUR,Москва,2022-12-29T11:33:32+0300
Механик по транспорту и обслуживанию БРУ,150000.0,,RUR,Омск,2022-12-29T10:48:47+0300
Помощник дизайнера (ассистент дизайнера),40000.0,50000.0,RUR,Москва,2022-12-29T11:13:44+0300
UI/UX дизайнер,120000.0,,RUR,Екатеринбург,2022-12-29T08:19:57+0300
Ведущий аналитик в информационно-аналитический отдел,60000.0,,RUR,Москва,2022-12-29T11:56:06+0300
Веб-дизайнер (Офис на Пхукете),,70000.0,RUR,Таиланд,2022-12-29T11:45:09+0300
Senior Product Analytic,2500.0,3500.0,USD,Ташкент,2022-12-29T08:50:09+0300
Системный администратор,45000.0,,RUR,Уфа,2022-12-29T07:13:19+0300
Дизайнер,250000.0,400000.0,KZT,Алматы,2022-12-29T09:56:42+0300
Системный администратор,30000.0,30000.0,KGS,Бишкек,2022-12-29T06:21:00+0300
Программист-разработчик C#,350000.0,,KZT,Астана,2022-12-29T06:57:47+0300
Системный администратор,100000.0,,RUR,Москва,2022-12-29T11:15:45+0300
Инженер технической поддержки,35000.0,90000.0,RUR,Уфа,2022-12-29T11:09:30+0300
Младший разработчик,45000.0,,RUR,Пермь,2022-12-29T11:00:34+0300
Копирайтер,600.0,,BYR,Гомель,2022-12-29T11:36:28+0300
Копирайтер (удалённо),30000.0,35000.0,RUR,Москва,2022-12-29T06:47:51+0300
Разработчик SQL (блок риски) в Банк,230000.0,,RUR,Москва,2022-12-29T11:49:50+0300
Менеджер проекта/Project Manager,150000.0,,RUR,Москва,2022-12-29T09:32:15+0300
Инженер-электроник (АЭС),90000.0,,RUR,Санкт-Петербург,2022-12-29T11:48:10+0300
Специалист службы поддержки пользователей,40000.0,40000.0,RUR,Санкт-Петербург,2022-12-29T08:48:35+0300
Корреспондент,30000.0,,RUR,Томск,2022-12-29T09:57:08+0300
Специалист технической поддержки,80000.0,,RUR,Москва,2022-12-29T09:50:33+0300
Системный администратор,120000.0,120000.0,RUR,Москва,2022-12-29T11:43:35+0300
Помощник системного администратора (выездной инженер),70000.0,,RUR,Москва,2022-12-29T10:18:39+0300
Специалист по ИТ,70000.0,,RUR,Ростов-на-Дону,2022-12-29T11:27:26+0300
Специалист сервисного центра,35000.0,45000.0,RUR,Юрга,2022-12-29T06:58:14+0300
"Прикладной программист (парсинг сайтов, коррекция данных)",50000.0,60000.0,RUR,Екатеринбург,2022-12-29T08:23:50+0300
Заместитель руководителя по проекту,8000000.0,15000000.0,UZS,Ташкент,2022-12-29T09:34:08+0300
Графический дизайнер,70000.0,,RUR,Москва,2022-12-29T11:13:36+0300
Редактор на северные города Тюменской области,40000.0,50000.0,RUR,Тюмень,2022-12-29T09:03:14+0300
Streamers support specialist (Russian & English languages),30000.0,50000.0,RUR,Москва,2022-12-29T11:09:04+0300
Системный администратор,40000.0,,RUR,Самара,2022-12-29T08:57:13+0300
Сервисный инженер,1700.0,,BYR,Минск,2022-12-29T11:18:01+0300
Дизайнер (удаленно),35000.0,,RUR,Новосибирск,2022-12-29T07:12:03+0300
Помощник системного администратора,40000.0,,RUR,Санкт-Петербург,2022-12-29T09:02:13+0300
Сервисный инженер,70000.0,,RUR,Саратов,2022-12-29T09:56:23+0300
Начальник ремонтно-механической мастерской,150000.0,,RUR,Нижневартовск,2022-12-29T07:55:59+0300
Сервисный инженер (инженер по автоматизации),60000.0,120000.0,RUR,Ульяновск,2022-12-29T10:16:39+0300
Графический дизайнер (Ассистент в отдел маркетинга),65000.0,,RUR,Москва,2022-12-29T09:37:59+0300
Системный администратор,,90000.0,RUR,Санкт-Петербург,2022-12-29T10:22:02+0300
Системный администратор (кассовое оборудование),50000.0,,RUR,Тверь,2022-12-29T09:28:06+0300
Шеф-редактор программ,80000.0,100000.0,RUR,Москва,2022-12-29T11:59:43+0300
Системный администратор,100000.0,,RUR,Москва,2022-12-29T10:09:42+0300
Системный администратор,70000.0,,RUR,Екатеринбург,2022-12-29T11:04:17+0300
Аналитик / IT-Аналитик Wildberries,50000.0,130000.0,RUR,Москва,2022-12-29T10:51:43+0300
Помощник продакт-менеджера,50000.0,,RUR,Екатеринбург,2022-12-29T08:04:10+0300
Инженер технической поддержки,45000.0,,RUR,Воронеж,2022-12-29T09:47:02+0300
Frontend developer (React),,220000.0,RUR,Москва,2022-12-29T11:12:42+0300
Токарь-универсал,132250.0,,RUR,Санкт-Петербург,2022-12-29T07:59:28+0300
Инженер / Системный администратор Linux,70000.0,70000.0,RUR,Ставрополь,2022-12-29T09:39:35+0300
Менеджер по продуктам,400000.0,,KZT,Алматы,2022-12-29T06:37:13+0300
Специалист технической поддержки / Help Desk (м. Таганская),65000.0,85000.0,RUR,Москва,2022-12-29T11:21:27+0300
Редактор,70000.0,,RUR,Санкт-Петербург,2022-12-29T10:49:00+0300
Оператор станка лазерной резки,55000.0,55000.0,RUR,Москва,2022-12-29T09:47:24+0300
Старший системный администратор (техническая поддержка),80000.0,,RUR,Санкт-Петербург,2022-12-29T11:06:19+0300
"Продакт-менеджер (Екатеринбург, Санкт-Петербург, Москва)",150000.0,,RUR,Екатеринбург,2022-12-29T08:19:19+0300
Ночной сотрудник отдела технической поддержки со знанием английского языка,1000.0,1350.0,USD,Тбилиси,2022-12-29T11:53:46+0300
Мастер в сервисную службу (Электромонтер),75000.0,,RUR,Санкт-Петербург,2022-12-29T11:21:06+0300
Слесарь-сборщик РЭА и приборов,45000.0,,RUR,Рязань,2022-12-29T09:50:20+0300
Специалист поддержки,48000.0,,RUR,Воронеж,2022-12-29T10:02:47+0300
Специалист технической поддержки,60000.0,,RUR,Домодедово,2022-12-29T11:33:17+0300
Ученик/Веб-программист (г. Нижний Тагил),20000.0,35000.0,RUR,Нижний Тагил,2022-12-29T11:19:51+0300
Менеджер по управлению продуктом,147000.0,,RUR,Москва,2022-12-29T09:47:08+0300
Начинающий лингвист-аналитик,25000.0,,RUR,Пермь,2022-12-29T08:58:30+0300
Директор по информационным технологиям,180000.0,,RUR,Санкт-Петербург,2022-12-29T11:03:49+0300
Контент-менеджер,50000.0,,RUR,Екатеринбург,2022-12-29T11:40:59+0300
Учетчик,40000.0,50000.0,RUR,Москва,2022-12-29T09:56:37+0300
Ретушер портретов для гравировки,50000.0,150000.0,RUR,Ковров,2022-12-29T11:33:23+0300
DevOps-engineer (Middle),150000.0,200000.0,RUR,Новосибирск,2022-12-29T11:52:20+0300
Веб-мастер/Frontend-разработчик,40000.0,80000.0,RUR,Екатеринбург,2022-12-29T08:08:37+0300
Онлайн-консультант,35000.0,,RUR,Москва,2022-12-29T07:37:01+0300
Менеджер проектов,50000.0,100000.0,RUR,Самара,2022-12-29T09:59:28+0300
Судовой механик,,100000.0,RUR,Мурманск,2022-12-29T08:48:08+0300
Механик / Линейный механик,130000.0,130000.0,RUR,Новосибирск,2022-12-29T06:53:45+0300
"Специалист по допечатной подготовке/Препресс инженер, препресс",55000.0,75000.0,RUR,Санкт-Петербург,2022-12-29T10:16:23+0300
Выездной Инженер ККТ/ЦТО,70000.0,,RUR,Москва,2022-12-29T10:57:23+0300
Специалист технической поддержки,35000.0,55000.0,RUR,Томск,2022-12-29T08:32:38+0300
Senior Product Owner,,1000000.0,KZT,Алматы,2022-12-29T11:57:38+0300
Главный механик,,100000.0,RUR,Москва,2022-12-29T11:41:50+0300
Специалист технической поддержки,35000.0,55000.0,RUR,Москва,2022-12-29T08:06:49+0300
Наладчик станков с ЧПУ,3000.0,,BYR,Минск,2022-12-29T09:41:49+0300
Системный администратор (удалённо),25000.0,35000.0,RUR,Омск,2022-12-29T10:33:03+0300
Системный администратор,,80000.0,RUR,Дмитров,2022-12-29T10:22:55+0300
Менеджер проектов,50000.0,100000.0,RUR,Новокуйбышевск,2022-12-29T09:59:28+0300
Инженер-механик,,350000.0,KZT,Астана,2022-12-29T08:24:24+0300
Специалист отдела ГИНС (геоинформационных и навигационных систем),,60000.0,RUR,Челябинск,2022-12-29T07:33:48+0300
PHP-разработчик (удаленно),90000.0,,RUR,Ростов-на-Дону,2022-12-29T09:21:37+0300
Младший программист / стажёр (Junior) С / Linux,50000.0,70000.0,RUR,Москва,2022-12-29T08:18:37+0300
Инженер-механик / Контролер по выпуску техники (с. Холодное),50000.0,,RUR,Короча,2022-12-29T10:31:09+0300
Копирайтер / SMM-копирайтер,100000.0,200000.0,KZT,Астана,2022-12-29T11:46:18+0300
Backend разработчик,,90000.0,RUR,Ижевск,2022-12-29T11:19:27+0300
Frontend JS программист,30000.0,60000.0,RUR,Екатеринбург,2022-12-29T11:12:42+0300
Менеджер IT-проектов,70000.0,100000.0,RUR,Москва,2022-12-29T07:01:39+0300
Инженер-электроник/настройщик участка опытного производства,70000.0,,RUR,Екатеринбург,2022-12-29T09:53:48+0300
Помощник системного администратора,50000.0,,RUR,Санкт-Петербург,2022-12-29T09:04:29+0300
Системный администратор,40000.0,40000.0,RUR,Калуга,2022-12-29T11:30:57+0300
Специалист отдела технической поддержки / Системный администратор,,40000.0,RUR,Астрахань,2022-12-29T11:40:32+0300
Ведущий специалист,65000.0,,RUR,Улан-Удэ,2022-12-29T07:07:20+0300
Аналитик отдела сбыта,45000.0,60000.0,RUR,Орел,2022-12-29T10:49:45+0300
Инсталлятор,50000.0,,RUR,Чебоксары,2022-12-29T09:04:42+0300
Ведущий специалист отдела системного администрирования,40000.0,,RUR,Ковров,2022-12-29T10:14:16+0300
Инсталлятор,45000.0,50000.0,RUR,Ростов-на-Дону,2022-12-29T09:04:43+0300
Стажер,80000.0,,RUR,Волгоград,2022-12-29T09:11:58+0300
Сетевой администратор,,1350.0,USD,Ташкент,2022-12-29T06:09:31+0300
Инженер КИПиА,200000.0,,KZT,Алматы,2022-12-29T06:53:36+0300
Графический дизайнер,40000.0,50000.0,RUR,Омск,2022-12-29T08:31:09+0300
Оператор станков с ЧПУ,75000.0,,RUR,Екатеринбург,2022-12-29T08:02:28+0300
Специалист технической поддержки 1 линии,40000.0,80000.0,RUR,Новосибирск,2022-12-29T09:34:38+0300
"Механик ремонтно-механической мастерской, Колонный",100000.0,110000.0,RUR,Нижневартовск,2022-12-29T08:04:19+0300
Инженер по защите информации (с допуском к Гостайне),40000.0,60000.0,RUR,Барнаул,2022-12-29T11:27:40+0300
Программист,40000.0,,RUR,Иркутск,2022-12-29T06:32:04+0300
Главный механик,88400.0,88400.0,RUR,Комсомольск-на-Амуре,2022-12-29T09:50:27+0300
"Инженер-электронщик (IoT, Радиотехник, Сервисный инженер)",40000.0,60000.0,RUR,Пермь,2022-12-29T11:33:11+0300
Программист 1C/1С ERP,1500000.0,,KZT,Алматы,2022-12-29T08:36:15+0300
Системный администратор,300000.0,400000.0,KZT,Алматы,2022-12-29T08:50:27+0300
